"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4395,2,0,4,1,1,1,2,30,295,4.84,0,0.26,1,0,0,0,0,0,1,0,0,5.40267738187228
4393,0,0,1,1,1,2,4,60,0,4.9,0,0.28,0,0,1,0,0,1,0,0,0,5.16478597392351
4668,3,1,3,1,1,1,3,30,1,4.65,0,0.34,1,0,0,0,0,0,1,0,0,5.96357934361845
4421,3,0,1,1,1,1,2,10,192,4.78,0,1.36,1,0,0,0,0,1,0,0,0,5.92692602597041
4446,4,0,27,1,1,1,6,3,107,4.17,0,0.07,0,0,1,0,0,1,0,0,0,6.66568371778241
4627,4,0,0,1,1,1,3,1,154,4.71,0,2.08,1,0,0,0,0,1,0,0,0,5.92692602597041
4386,3,0,1,1,1,1,1,2,86,4.93,0,0.13,0,0,1,0,0,0,0,1,0,4.64439089914137
4385,1,0,2,1,1,1,2,30,60,4.86,0,1.13,0,0,1,0,0,0,1,0,0,4.38202663467388
4384,2,1,3,1,1,1.5,1,5,239,4.85,0,3.24,0,0,1,0,0,0,1,0,0,4.36944785246702
4384,4,1,1,1,1,1,4,2,6,4.89,0,0.89,1,0,0,0,0,1,0,0,0,5.01063529409626
4383,2,0,1,1,1,1,3,45,215,4.9,0,0.09,1,0,0,0,0,1,0,0,0,5.41610040220442
4536,3,1,3,1,1,1,3,3,56,4.75,0,2.34,1,0,0,0,0,1,0,0,0,5.16478597392351
3930,3,1,3,1,1,1,2,30,238,4.63,0,0.51,1,0,0,0,0,0,1,0,0,5.11198778835654
4376,0,0,1,1,1,1,2,30,0,5,0,0.01,0,0,1,0,0,0,1,0,0,4.49980967033027
4664,4,0,2,1,1,1,2,30,339,4.62,0,1.32,0,0,1,0,0,1,0,0,0,4.55387689160054
4376,0,0,1,1,1,1,1,30,0,0,0,0,0,0,1,0,0,1,0,0,0,4.49980967033027
4528,3,1,2,1,0,1,2,30,307,4.75,0,2.03,0,0,1,0,0,1,0,0,0,4.00733318523247
4375,3,0,3,1,1,2,6,364,362,4.5,0,0.26,1,0,0,0,0,1,0,0,0,5.45958551414416
4378,1,0,1,1,1,1,1,30,303,4.76,0,0.25,0,0,1,0,0,0,1,0,0,4.17438726989564
4373,3,0,2,1,1,1,2,5,8,4.58,0,0.28,1,0,0,0,0,0,0,1,0,4.44265125649032
4406,3,1,1,1,1,1,4,30,30,4.48,0,1.28,1,0,0,0,0,0,1,0,0,4.24849524204936
4021,3,1,1,1,1,1,2,30,217,4.8,0,0.67,1,0,0,0,0,1,0,0,0,4.55387689160054
4364,2,1,2,1,1,2,4,2,86,4.96,0,0.2,1,0,0,0,0,1,0,0,0,5.10594547390058
